expected,prediction,status,attempts,error,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
unknown,Adelie,OK,1,,30.0,18.0,190,3800
unknown,Adelie,OK,1,,31.57894736842105,18.0,190,3800
unknown,Adelie,OK,1,,33.1578947368421,18.0,190,3800
unknown,Adelie,OK,1,,34.73684210526316,18.0,190,3800
unknown,Adelie,OK,1,,36.31578947368421,18.0,190,3800
unknown,Adelie,OK,1,,37.89473684210526,18.0,190,3800
unknown,Adelie,OK,1,,39.473684210526315,18.0,190,3800
unknown,Adelie,OK,1,,41.05263157894737,18.0,190,3800
unknown,Adelie,OK,1,,42.631578947368425,18.0,190,3800
unknown,Chinstrap,OK,1,,44.21052631578947,18.0,190,3800
unknown,Chinstrap,OK,1,,45.78947368421053,18.0,190,3800
unknown,Chinstrap,OK,1,,47.368421052631575,18.0,190,3800
unknown,Chinstrap,OK,1,,48.94736842105263,18.0,190,3800
unknown,Chinstrap,OK,1,,50.526315789473685,18.0,190,3800
unknown,Chinstrap,OK,1,,52.10526315789474,18.0,190,3800
unknown,Chinstrap,OK,1,,53.684210526315795,18.0,190,3800
unknown,Chinstrap,OK,1,,55.26315789473684,18.0,190,3800
unknown,Chinstrap,OK,1,,56.84210526315789,18.0,190,3800
unknown,Chinstrap,OK,1,,58.421052631578945,18.0,190,3800
unknown,Chinstrap,OK,1,,60.0,18.0,190,3800
